lu_assmt,year_lcc,landuse1,landuse2,nyt,rat,nightt,morningt,endt,dayt,dist2s1,dist2s2,dist2s3,dist2s4,dist2s5,dist2s6,dist2rec,dist2tr,dist2ma,dist2res,dist2gov,dist2of,dist2ot,dist2co,num2s1,num2s2,num2s3,num2s4,num2s5,num2s6,num2rec,num2tr,num2ma,num2res,num2gov,num2of,num2ot,num2co,area
co,12.02061844,Other,Other,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0.080491881
co,14.83720589,Food,Restaurant,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0.805511395
co,1,Shopping,Other Shopping,0,0,1,0,0,3,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,19,0,0,0,0,0,2,0,19,0.854500305
co,8.187973976,Car,Parking lot,0,0,0,2,0,4,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,0,7,6.872205275
co,15.99486542,Residential real estate,Residences,0,0,0,5,26,32,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,4,0,21,0,0,0,0,2,1,0,22,3.796194458
co,1.452342629,Healthcare,Clinic,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,1,0,7,3.887238552
co,10.02778816,Shopping,Supermarket,0,0,1,3,1,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,8,6,0,0,1,0,0,9,0,6,3.567739952
co,0.865080774,Car,Auto parts sales,0,0,3,1,0,2,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,5,0,24,0,0,4,0,2,1,0,23,3.550636852
co,12.8235321,Shopping,Convenience Store,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,5,0.966610319
co,4.110679626,Shopping,Other Shopping,0,0,6,10,6,19,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,1,0,0,0,0,0,7,7.476469316
co,16.26666832,Car,Automotive Maintenance,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,1,0,14,0.966405683
co,4.317933083,Shopping,Other Shopping,0,0,3,4,5,13,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,4,1,11,0,1,0,0,0,1,0,14,6.918582653
co,1.018323064,Hotels,Other hotels,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,3,2,20,0,1,0,0,0,5,0,19,2.998318865
co,3.154348373,Food,Restaurant,0,0,9,6,7,18,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,4,1,29,0,1,0,0,1,7,0,25,4.311243787
co,5,Shopping,Integrated shopping mall,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,32,0,2,0,0,0,1,0,29,0.341800581
co,4.511623859,Food,Restaurant,0,0,5,3,3,14,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,9,0,2,0,0,0,2,0,7,7.965487649
co,1,Living Services,Agency,1,1,26,56,35,132,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,5,0,43,0,2,0,0,1,1,0,44,1.723881659
co,1.058441758,Corporate,Agriculture_forestry_animal husbandry and fishery,0,0,3,7,13,12,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2,6,11,0,2,0,0,1,7,0,9,5.114875635
co,5.295621395,Car,Stations,0,0,4,1,1,4,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,7,0,2,1,0,0,2,0,5,3.754078618
